Scopus-6220-Analyze-Subject

"Your query : ((TITLE-ABS-KEY(""information assurance"") OR TITLE-ABS-KEY(""information security"") OR TITLE-ABS-KEY(c*bersecurity)))"


Number of results : 6220

"SUBJECT AREA",
"Computer Science","4479"
"Engineering","2353"
"Social Sciences","996"
"Mathematics","713"
"Decision Sciences","710"
"Business, Management and Accounting","519"
"Physics and Astronomy","209"
"Economics, Econometrics and Finance","163"
"Materials Science","161"
"Medicine","142"
"Energy","77"
"Chemical Engineering","54"
"Multidisciplinary","48"
"Health Professions","39"
"Psychology","35"
"Earth and Planetary Sciences","34"
"Chemistry","33"
"Arts and Humanities","25"
"Environmental Science","24"
"Biochemistry, Genetics and Molecular Biology","17"
"Agricultural and Biological Sciences","14"
"Nursing","8"
"Dentistry","1"
"Pharmacology, Toxicology and Pharmaceutics","1"
