x,y,Topic,Length
0.92788494,6.630433,4,1051
4.1374397,0.17331375,0,523
6.092612,3.884728,1,900
4.1738663,4.6822276,58,442
7.595296,3.5524359,1,460
6.9711885,3.7783246,1,233
7.5151224,3.5914462,1,406
4.1495786,4.649305,58,329
1.5142912,6.8637705,4,831
7.0272183,3.6293874,1,641
8.07713,2.2567425,11,716
7.002822,3.7208066,1,1398
7.5464783,3.2980719,1,684
5.389969,9.410014,6,563
4.2409577,4.6367426,4,267
7.625816,3.2794688,1,374
7.159771,3.5031884,1,890
6.8540087,3.7374046,1,274
7.324557,3.5673401,1,470
3.9429352,-0.37004703,0,999
7.603956,3.2454464,1,1146
7.49179,3.3456185,1,337
6.987825,3.8064399,1,1366
-1.6435132,9.300715,19,647
6.616342,3.5549977,1,799
7.1426835,3.7288425,1,1377
6.760802,3.5850244,1,471
6.0286117,-0.8531068,20,664
5.2738633,9.525758,6,1484
7.648904,3.6112933,1,433
7.1881266,3.5829198,1,531
5.0211267,9.741147,6,449
6.995792,3.7733223,1,468
1.5505954,7.0727963,4,1084
6.1840253,3.3210359,1,1099
6.2277308,3.5624616,8,427
7.649003,3.179313,1,680
1.3759856,7.3486276,4,461
6.4254737,4.1830835,1,536
1.5381858,6.8064036,4,928
7.2105613,3.8004797,1,1208
8.05663,2.172815,11,637
-2.3449454,-3.0960152,9,907
8.04512,2.1238122,11,267
5.7868342,-3.5774388,36,581
2.1512265,6.842099,4,355
7.109441,3.6521916,1,431
3.9944024,-0.37018824,0,999
1.9976724,6.63286,4,632
4.2142363,4.681311,58,540
6.0413604,-0.8648574,20,852
1.9811555,6.866761,4,1208
7.0370526,3.6636956,1,382
1.553769,6.991241,4,51
6.081106,-0.94418293,20,442
6.933983,3.7577243,1,881
6.988437,3.7537622,1,1767
4.1688967,4.689391,58,458
7.3511434,3.517294,1,921
7.471945,3.4823577,1,592
0.30931845,8.662091,16,648
6.975479,3.7665057,1,434
1.6454206,2.8992422,2,725
5.298769,9.4720955,6,613
6.4385376,4.167069,1,876
0.97141975,6.7176175,4,639
5.2312884,9.561527,6,714
5.292124,9.447477,6,780
6.3379526,3.4346373,1,587
7.251563,3.7808812,1,808
7.2982435,3.6288517,1,987
7.4271164,3.5739768,1,960
6.536571,4.0767417,1,292
4.262548,-0.2797017,0,248
1.6567115,7.0027094,4,198
7.1359873,3.6685803,1,1007
7.021265,3.7084923,1,692
1.9570141,6.820018,4,775
4.475103,5.10314,38,911
7.3847704,3.2842999,1,1107
7.08035,3.6621199,1,892
7.327079,3.4928508,1,1408
5.2599897,9.461085,6,563
6.632189,3.8283577,1,1019
7.3501854,3.7209582,1,928
6.9576645,4.036828,1,140
5.923303,3.803099,1,889
6.0308046,-0.8382799,20,796
7.029674,3.6580908,19,794
5.3538203,9.467218,6,886
7.2676535,3.6171057,1,925
7.0775795,3.5802317,1,561
2.6262617,6.5187263,4,857
8.675437,4.06872,8,1486
7.2569084,3.607704,1,495
6.0376177,-0.851201,20,910
7.384889,3.39624,1,1330
6.2340646,3.339655,1,1127
2.0185142,6.96623,4,1120
7.280431,3.605867,1,949
5.322517,9.467364,6,623
7.090196,-4.56901,5,766
7.136804,3.6384864,1,371
6.6596746,3.798669,1,793
7.354678,3.5816853,1,863
5.8917336,3.7376733,1,489
6.96449,3.7068594,1,504
7.0555005,3.6826653,1,640
7.31912,3.5917122,1,591
6.296275,3.4989364,1,1925
8.733812,1.878037,11,377
5.309266,9.495526,6,1768
6.775386,4.057345,1,916
3.103978,7.2034645,42,799
5.3231797,9.480043,6,976
5.3797307,9.463865,6,824
5.788066,-3.5655031,36,1970
5.531034,3.1697056,17,386
7.487629,3.6069827,1,388
9.48711,5.3165493,53,504
1.289862,6.908783,4,615
7.067222,3.5737393,1,599
3.1256592,7.2364197,42,561
8.629509,4.385353,8,1709
9.229453,5.5627303,3,1171
7.6968994,3.4497216,1,306
6.3009233,3.9188626,1,1448
6.5267816,3.4092882,1,797
5.387847,9.445225,6,340
5.483744,9.48719,6,608
9.177971,5.745375,3,520
5.35453,9.435761,6,782
6.274982,3.0898063,1,1275
5.2438784,9.730079,6,373
6.4040136,3.4870532,1,1878
4.295463,4.706144,58,491
5.334997,9.47558,6,1719
2.9347668,6.303986,4,1271
6.008416,3.51677,1,479
7.2649665,2.7477393,41,689
6.5884037,4.0766783,1,1093
6.627982,4.031921,1,631
3.074905,-0.5258944,0,929
6.202578,3.972835,1,1343
4.450299,5.044343,38,794
6.170848,4.0276237,1,453
4.1265464,0.074847,0,721
2.593071,6.6334834,4,479
9.384253,0.7033464,32,559
1.1713257,6.742653,4,1506
6.8776064,3.7489252,1,955
1.69109,7.199138,4,837
4.5047317,4.8870897,38,746
9.505745,0.916108,32,260
6.660598,3.7999704,1,455
6.418085,3.7747068,1,1694
3.3751183,-0.5667209,0,426
8.229766,4.019981,8,678
2.6674502,6.5027647,4,942
6.6582355,4.176665,1,608
7.2691464,3.7839642,1,245
3.053317,-0.5775801,0,786
7.298486,3.7431378,1,543
5.3131733,9.510646,6,336
5.353736,9.459825,6,3353
5.3543367,9.459612,6,3371
5.3659806,9.438671,6,753
5.420083,9.504829,6,1222
5.130666,9.3409395,6,1066
5.432247,9.404377,6,1105
5.2378416,2.6065395,17,441
5.378356,9.442239,6,4613
2.9060724,6.303271,4,858
5.3206797,9.468971,6,778
5.3623614,9.451803,6,818
7.610507,4.0646863,1,737
5.3490973,9.538998,6,432
5.188827,9.384859,6,1023
7.076976,3.6429796,1,716
7.226508,3.4943335,1,393
2.046376,6.9904947,4,391
5.364664,9.418086,6,1046
5.276555,9.427732,6,1610
6.9589972,3.6686697,1,1097
5.3768415,4.407189,4,1124
0.8911918,7.1959567,4,1382
7.505531,3.6322563,1,587
5.3474307,9.434748,6,1004
6.4059553,3.4672267,1,441
7.074385,3.6614788,1,689
5.360097,9.4700165,6,3373
6.864239,3.7109265,1,548
4.74438,4.9463754,38,691
6.9004664,3.7311711,1,1022
5.334848,9.872057,6,1884
5.3590555,9.447585,6,4576
7.3064733,2.7580392,41,679
7.0300975,3.5361454,1,552
5.323488,9.452602,6,1156
5.318232,9.469936,6,2019
5.4485326,9.610331,6,1386
4.8665247,9.742887,6,1577
5.337058,9.459616,6,1139
5.0577044,2.9509087,17,1217
5.338903,9.456905,6,945
7.270198,3.9217513,1,671
6.135752,3.2707517,1,943
6.525328,2.5521495,1,782
1.5389442,6.9957,4,1711
7.2773767,3.4749258,1,631
5.36727,9.43612,6,4613
9.262832,0.6638169,32,484
6.69072,4.0126157,1,961
7.4005804,3.5589545,1,530
1.3890694,7.304368,4,619
6.6893764,4.06532,1,395
7.048803,3.5529938,1,976
7.243334,3.501181,1,430
3.8708763,4.6060233,58,869
6.697829,4.102521,1,430
6.101637,4.038228,1,965
6.1970215,4.0931277,1,1237
6.240669,3.347568,1,485
7.3121142,3.520952,1,481
7.2375336,3.4222116,1,563
6.591608,4.118823,1,947
6.4764004,4.08517,1,801
9.297528,5.848107,3,485
6.70331,4.071569,1,755
8.727158,1.8482513,11,504
6.096879,3.5258799,1,730
8.733796,1.7656676,11,1035
5.3345323,9.497653,6,704
7.2886457,3.6911192,1,709
7.3042088,3.6727667,1,437
5.435027,9.595455,6,1381
6.6562014,4.162618,1,503
-0.60904133,7.384051,0,373
7.432242,3.645125,1,601
7.6690645,3.5807,1,459
6.70384,3.6217875,1,437
1.9842697,6.9274673,4,1103
5.2147193,9.520975,6,1599
6.2554173,4.02678,1,1066
2.1941357,6.9343147,4,568
1.9359987,6.939462,4,387
6.0228276,-0.85023713,20,1569
7.4315586,3.4880636,1,442
5.271523,2.4535863,1,760
5.413238,9.411884,6,1842
5.9629793,3.8249085,1,759
5.28824,9.511639,6,431
7.0714,3.669265,1,380
7.245071,3.5707,1,489
3.4571548,3.6289358,23,545
9.193708,1.1964723,11,991
5.3119993,9.495868,6,1405
9.298491,5.9057374,3,1679
1.8822914,7.2845583,4,794
9.31462,0.6981098,32,744
5.306578,9.425098,6,905
5.0493307,3.837678,36,1112
5.333492,9.43125,6,274
6.626324,4.185295,1,413
6.757966,4.1621184,1,640
1.2932233,6.9109364,4,769
5.311373,9.505559,6,364
2.2402697,-3.5973818,12,1198
3.1660306,-0.5954918,0,953
0.69295174,6.581845,4,854
1.0231028,6.7090774,4,801
8.02366,2.1385152,11,1194
7.226683,3.615483,1,750
5.2660413,9.63174,6,1168
8.447175,3.9249978,8,1447
5.357623,9.408561,6,148
4.7504554,4.180024,17,414
-0.39909148,9.7484045,27,360
7.400676,3.4688728,1,461
6.4651213,3.8615918,1,1118
3.5621223,3.472765,23,446
4.994174,9.36431,6,1027
0.9051069,6.6822295,4,822
4.344085,4.818131,58,942
8.035705,2.4253135,11,482
7.1462584,3.6046867,1,1325
6.519307,3.7956893,1,869
5.289585,9.487893,6,892
5.283262,9.489912,6,988
6.728345,4.174989,1,513
-0.63109225,7.361966,0,403
7.5289564,3.5873783,1,362
0.9966833,6.7150865,4,1370
7.369802,3.6999962,1,343
9.38387,5.7874303,3,445
7.5288086,3.3226924,1,1536
7.3591833,3.547788,1,562
6.3756742,3.9311206,24,801
-0.51588476,8.060396,35,804
5.906249,2.8863776,1,1199
6.1042457,3.9999242,1,837
-0.29520628,9.306185,27,2250
9.307893,0.6856362,32,408
6.2304406,4.0162034,1,818
1.6814297,2.8986766,2,1040
6.724502,4.167189,1,358
2.0268984,6.964458,4,547
5.30767,9.5065,6,436
1.9161453,2.7439814,2,679
8.870952,4.1698327,8,559
5.3822927,9.433095,6,965
1.585201,6.7585616,4,689
5.294847,9.51532,6,202
0.9465829,8.917684,43,515
8.737396,1.7698679,11,1035
6.3179092,3.8670225,1,923
7.384906,3.5538752,60,617
3.9080203,4.5701995,55,420
3.8624685,-0.71126264,0,855
9.307998,5.7963877,3,1491
1.7059642,6.8696213,4,188
1.1204519,7.3098397,4,221
9.48118,-2.527479,16,556
5.579311,2.8925567,50,964
-0.40612417,9.840593,27,434
6.9974084,3.7894263,48,413
8.605552,3.9937556,42,876
8.7549925,1.9858998,11,1348
6.4843283,3.9622478,1,1122
7.259521,3.48603,1,375
5.393211,6.1899834,21,2592
4.5522094,5.017197,38,886
6.416369,3.8892066,1,390
1.4861107,7.225213,4,410
1.7305216,2.893495,2,1055
6.7395706,4.152764,1,1029
6.999326,3.8329878,48,395
1.7860837,7.2860985,4,476
5.2928257,9.507234,6,619
4.115234,4.852121,58,467
3.4452736,3.6558585,23,910
9.241958,5.7423067,3,2312
-0.40618694,9.839923,27,465
5.345399,9.422651,6,2691
4.463317,4.9716663,38,1606
5.764579,3.8303485,1,1073
3.9714289,4.580795,58,1292
6.182539,2.9333234,1,613
0.99937683,2.8471692,2,1246
-0.5102957,8.034333,35,549
2.9923778,6.6679564,4,821
5.325188,9.477904,6,180
5.3616576,9.437058,6,1147
7.2266445,3.6967201,1,498
3.5773206,3.464701,23,697
0.68612105,6.5802035,4,854
4.6098595,4.957198,38,819
6.359995,3.6643455,1,1193
5.3985295,9.406851,6,2767
1.6074091,2.89712,2,534
4.628352,4.962991,38,959
5.1663938,4.6842103,4,949
1.5955719,2.8956268,2,1151
6.8742805,4.0971313,1,748
0.81163526,2.6357718,2,608
