"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Peiró S.; Munoz M.; Crespo A.","Peiró, S. (57194109522); Munoz, M. (57211786353); Crespo, A. (57189591132)","57194109522; 57211786353; 57189591132","An analysis on the impact and detection of kernel stack infoleaks","2016","1","10.1093/jigpal/jzw049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021187856&doi=10.1093%2fjigpal%2fjzw049&partnerID=40&md5=31401889f460bbdb659ada518a1e600d","The Linux kernel has become a fundamental component of mainstream computing solutions, now being used in a wide range of applications ranging from consumer electronics to cloud and server solutions. Being expected to continue its growth, especially in the mission-critical workloads. Parallel to the Linux adoption has increased its misuse by attackers and malicious users. This has increased attention paid to kernel security through the deployment of kernel protection mechanisms. Kernel-based attacks require reliability, where kernel attack reliability is achieved through the information gathering stage, where the attacker is able to gather enough information about the target to succeed. The taxonomy of kernel vulnerabilities includes information leaks (CWE-200), that are a class of vulnerabilities that permit access to the kernel memory layout and contents. Information leaks can improve the attack reliability enabling the attacker to read sensitive kernel data to bypass kernel based protections. In this work, we aim at the analysis and detection of stack-based information leaks to harden the security of the kernel. First, we analyse the problem of kernel infoleaks in Section 3, next, we examine the impact of infoleaks attacks on the security of the kernel in Section 4. Then, we present a technique for detecting kernel based infoleaks through static analysis Section 5. Next, we evaluate our technique by applying it to the Linux kernel in Section 6. Finally, we discuss the applications and limitations of our work (Section 6.3) and finally we draw our concluding remarks. © The Author 2016.","Confidentiality; Information disclosure (Infoleak); Information security; Kernel; Operating system","Linux; Reliability; Static analysis; Computing solutions; Confidentiality; Fundamental component; Information disclosure; Information disclosure (infoleak); Kernel; Linux kernel; Mission critical; Operating system; Protection mechanisms; Security of data"
"Merlo A.; Spadacini E.; Migliardi M.","Merlo, Alessio (15136674200); Spadacini, Elena (56595074200); Migliardi, Mauro (55912347600)","15136674200; 56595074200; 55912347600","IPS-based reduction of network energy consumption","2016","3","10.1093/jigpal/jzw053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019233054&doi=10.1093%2fjigpal%2fjzw053&partnerID=40&md5=0ff869ca1ac437c905763e2f0a410557","Network attacks and cyber-security breaches may be the cause of huge monetary damages in the modern information-based economy; thus, the need for network security is stronger than ever as it is the need for full traffic sanitization. Nonetheless, the purge of malicious packets is still too often relegated to the destination of the attacks letting the unwanted traffic roam freely. At the same time, the next generation of routers promises to be able to modulate energy consumption on the basis of actual traffic, thus the presence of malicious traffic in the network is a cause of economic losses in itself, even when the attack is not successful. In past work, we modelled and analysed the energy savings enabled by aggressive intrusion detection; however, fluctuations in the traffic intensity has not been fully taken into account. In this article, we introduce a new enhanced adaptive model that takes into full account the actual load of routers including what is due to forecasting errors. © The Author 2016.","Energy-aware security; Intrusion detection systems; IPS-enabled routers","Computer crime; Cybersecurity; Energy conservation; Intrusion detection; Losses; Network security; Power management (telecommunication); % reductions; Cyber security; Energy aware; Energy-aware security; Information-based economy; Intrusion Detection Systems; IPS-enabled router; Network attack; Network energy consumption; Security breaches; Energy utilization"
"Zhu S.; Guo E.; Lu M.; Yue A.","Zhu, Sherry (55755417000); Guo, Eric (12759984600); Lu, Max (56683575700); Yue, Anna (57193002203)","55755417000; 12759984600; 56683575700; 57193002203","An efficient data leakage prevention framework for semiconductor industry","2016","2","10.1109/IEEM.2016.7798201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009865526&doi=10.1109%2fIEEM.2016.7798201&partnerID=40&md5=3f799b97aa96bde60804144419a00b69","When IC production enters into the nanometer generation, more and more semiconductor design and manufacture companies have taken a lot of effort in information security area to prevent company information security. But data leakage is a problem still far from been solved, despite its long history to the early days of computer system. Therefore, protection for these sensitive and confidential data gains great attention from foundry's top management, administrators and IT managers. This paper attempts to analysis data protection requirements in IC foundry and to integrate current DLP (Data leakage prevention) approaches to build an efficient data leakage prevention framework to protect IC field sensitive data safety. © 2016 IEEE.","data leakage prevention (DLP); information security; semiconductor","Data privacy; Foundries; Integrated circuits; Manufacture; Semiconductor device manufacture; Semiconductor materials; Confidential data; Data leakage preventions; Data leakage preventions (DLP); Field sensitives; Information security area; Protection requirements; Semiconductor design; Semiconductor industry; Security of data"
"","","","Foreword:1st international joint workshops on fog and mobile edge computing, & on information security & privacy for mobile cloud computing, web &internet of things (FMEC/ISCW 2016)","2016","0","10.1109/FAS-W.2016.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011068490&doi=10.1109%2fFAS-W.2016.12&partnerID=40&md5=a6bf847ca7bd8a0d66e99af068dd0434","[No abstract available]","",""
"Chen H.-C.; Yeh P.-C.; Lin Z.-M.; Ruan Q.-H.","Chen, Hsing-Chung (57144819600); Yeh, Pei-Chi (57193135404); Lin, Ze-Min (57193134750); Ruan, Qiu-Hua (57193141669)","57144819600; 57193135404; 57193134750; 57193141669","Security awareness investigation for mobile user examined by using association rule mining method","2016","0","10.1109/IMIS.2016.142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011060889&doi=10.1109%2fIMIS.2016.142&partnerID=40&md5=6e1bbabe45130f82d7ebbd8feb53f496","Due to the development of mobile communications, some innovation APPs (Applications) provide convenient mobile lifestyle. Smartphone has gradually replaced the traditional cellular phone. The huge usages of smartphones driving the mobile APP have been developed, that the wide use of APPs makes human life more easily. These APPs are not only built-in software, but also sold or free download in online APP stores. User has doubts for unsolicited APPs. Therefore, the smart phone which performs these APPs requires preventing hacker attacks, and the user of smart phone should has some knowledges of information security on when he or she use the kind of APPs. In this paper, the subject of the investigation are the mobile device users who are some university students belonging to different disciplines, grade and gender in Taiwan. We collected total 174 valid questionnaires. Next, the level for mobile security awareness are analyzed by the results collected from questionnaire. The evaluation results of security awareness investigation for the mobile users examined by association rule mining are also revealed in this paper. © 2016 IEEE.","Association rule mining; Mobile user; Questionnaire; Security awareness","Application programs; Association rules; Mining; Mobile devices; Mobile security; Personal computing; Security of data; Smartphones; Surveys; Telephone sets; Ubiquitous computing; Web services; Association rule mining methods; Evaluation results; Mobile communications; Mobile device users; Mobile users; Questionnaire; Security awareness; University students; Mobile telecommunication systems"
"Hussein R.K.; Alenezi A.; Wills G.B.; Walters R.J.","Hussein, Raid Khalid (57193137483); Alenezi, Ahmed (55786432500); Wills, Gary B. (35609513100); Walters, Robert J. (15740354500)","57193137483; 55786432500; 35609513100; 15740354500","A Framework to Secure the Virtual Machine Image in Cloud Computing","2016","7","10.1109/SmartCloud.2016.19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011076274&doi=10.1109%2fSmartCloud.2016.19&partnerID=40&md5=395bdcf90c023b75cc5d63f2f1c30710","Cloud computing which uses outsourcing and remote processing of applications first appeared about ten years ago. Cloud Computing built on research in virtualization, distributed computing, utility computing, and web services. It reduces the information technology overhead for starting a new business and it can be accessed from anywhere. One of the concepts used for constructing cloud computing is virtualization, which has its own security risks, but they are not specific to the cloud. The key drawback to adopting cloud computing is security since clients use someone else's CPU and hard disk for processing and storing data. This paper proposes a security framework to secure Virtual Machine Images in a virtualization layer in the cloud environment. Securing the virtual machine image is significant as it will most probably affect the security of cloud computing. © 2016 IEEE.","cloud computing; information security; multi-tenancy; resource sharing; virtualization","Data handling; Distributed computer systems; Network security; Security of data; Virtual machine; Virtual reality; Virtualization; Web services; Cloud environments; Multi tenancies; Remote processing; Resource sharing; Security frameworks; Security risks; Utility computing; Virtualization layers; Cloud computing"
"Minto-Coy I.D.; Henlin M.G.G.","Minto-Coy, Indianna D. (55457278000); Henlin, M. Georgia Gibson (57193691144)","55457278000; 57193691144","The development of cybersecurity policy and legislative landscape in latin america and caribbean states","2016","3","10.4018/978-1-5225-1941-6.ch002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015940944&doi=10.4018%2f978-1-5225-1941-6.ch002&partnerID=40&md5=de3873d42cc34c32143d176e9b446b82","The rise and evolution of telecommunications networks over the last few decadeshave brought immeasurable benefits. Attention to the negative side of these developmentshas been slow, particularly in the Small Island Developing States of theCaribbean where countries are slowly becoming aware of the developmental, socialand economic challenges posed by cybercrimes. Attention has largely been ondeveloped states. However, the experiences covered here add to the global pictureon the state of cyber security, increasing understanding of alternative experiencesand where they sit alongside the more popular ones such as the US. The chapterdetails some major development in cyber security in the Caribbean, examining thedevelopment of the legal, institutional and organizational landscape in response togrowing internal and external cyber threats. Main players and efforts are identified.Information was gathered from interviews and content analysis and the authors'first-hand knowledge. © 2017, IGI Global.","","Content analysis; Cyber security; Cyber threats; Economic challenges; Latin America; Negative sides; Small island developing state; Telecommunications networks"
"Heyszl J.","Heyszl, Johann (36349887300)","36349887300","Challenges for information security in embedded systems in attackers with hardware access; [Herausforderungen für Informationssicherheit in eingebetteten Systemen bei Angreifern mit Hardware-Zugriff]","2016","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015356930&partnerID=40&md5=53c5948d2ecaa96c7632ed95a2587d0f","[No abstract available]","",""
"Boiko A.; Shendryk V.","Boiko, Andrii (57189295716); Shendryk, Vira (54421163800)","57189295716; 54421163800","System Integration and Security of Information Systems","2016","14","10.1016/j.procs.2017.01.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016071960&doi=10.1016%2fj.procs.2017.01.053&partnerID=40&md5=cacc10c994adb3055d776ff25ea2caf5","The frequency of unauthorized actions to information systems (IS) in the process of their integration is steadily increasing, which inevitably leads to huge financial and material losses. According to statistics, internal users of IS, commit more than half of all violations. All of this forms ""a dangerous group of risk"". Existing approaches for IS security are mainly provided by specialized tools of differentiation of user access to information resources. At the same time each user is assigned certain rights, in accordance with which it is permitted/prohibited local access to information is stored in PC, or remote access via communication links to information available on other PC. After analyzing we identified 2 major vulnerabilities: tools of differentiation of local access are not able to provide protection against the actions of offenders are not directly related to obtaining unauthorized access to IS resources and tools of differentiation of remote access does not provide protection from network by internal users of the system. The results of this research will lead to an improvement of the process of ensuring effective protection against threats to information security in the IS. © 2017 The Authors.","Behavioral method; Information system; Intrusion detection system; Security of information systems; Signature method","Information systems; Security of data; Behavioral method; Information resource; Intrusion Detection Systems; Material loss; Signature method; Specialized tools; System integration; Unauthorized access; Intrusion detection"
"","","","Proceedings - 2016 1st International Conference on Information Technology, Information Systems and Electrical Engineering, ICITISEE 2016","2016","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011317244&partnerID=40&md5=574e5756b820888fad1ef66c667b8202","The proceedings contain 34 papers. The topics discussed include: adopting information security techniques for cloud computing a survey; KRISNA: cryptoprocessor architecture for national smart card; KRISNA: cryptoprocessor architecture for national smart card; identity recognition based on palm vein feature using two-dimensional linear discriminant analysis; non-linear effects of high rate soliton transmission on DWDM optical fiber communication system; a parameter identification method for fractional order inductance of iron core reactor; second preimage attack method on various MAC constructions and its application with AES-128; and implementation of e-learning based on knowledge management system for Indonesian academic institution.","",""
